Survived,Class,Tag,Count
Survived,3rd class,Women,1
Died,1st class,Men,1
Survived,2nd class,Children,1
Survived,3rd class,Women,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,The aged,1
Survived,1st class,Men,1
Survived,2nd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,1st class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,The aged,1
Died,2nd class,Men,1
Died,1st class,Men,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Survived,2nd class,Women,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,1st class,Men,1
Died,3rd class,Children,1
Died,1st class,Men,1
Died,3rd class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Children,1
Survived,3rd class,Children,1
Survived,1st class,Women,1
Died,3rd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,1st class,The aged,1
Died,3rd class,Children,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Survived,2nd class,Children,1
Survived,3rd class,Children,1
Died,1st class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,2nd class,Men,1
Survived,3rd class,Women,1
Survived,2nd class,Children,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Children,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Survived,3rd class,Children,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,3rd class,Children,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Survived,2nd class,Children,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Survived,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Women,1
Survived,2nd class,Women,1
Survived,1st class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,1st class,The aged,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,1st class,Men,1
Died,1st class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Survived,3rd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,1st class,Men,1
Survived,3rd class,Men,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Survived,3rd class,Women,1
Survived,1st class,The aged,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Survived,3rd class,Women,1
Died,3rd class,The aged,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Survived,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Men,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,1st class,Children,1
Survived,1st class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,1st class,Children,1
Survived,1st class,Women,1
Survived,1st class,Children,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,2nd class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,3rd class,Women,1
Survived,2nd class,Women,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,The aged,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Survived,1st class,Children,1
Survived,3rd class,Women,1
Died,1st class,Men,1
Died,1st class,Men,1
Died,3rd class,Children,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,1st class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Men,1
Died,1st class,Men,1
Survived,2nd class,Children,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,2nd class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Children,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Survived,1st class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Women,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,1st class,Men,1
Survived,3rd class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Children,1
Died,1st class,Men,1
Survived,1st class,Children,1
Died,3rd class,Women,1
Survived,2nd class,Women,1
Died,1st class,The aged,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Men,1
Survived,1st class,Children,1
Survived,2nd class,Children,1
Survived,1st class,Men,1
Survived,3rd class,Children,1
Survived,1st class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Died,1st class,The aged,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Women,1
Died,1st class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,The aged,1
Survived,1st class,Men,1
Died,3rd class,Women,1
Survived,1st class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,1st class,The aged,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Women,1
Died,3rd class,Women,1
Died,3rd class,Women,1
Survived,1st class,Children,1
Died,1st class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,1st class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,2nd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Survived,3rd class,Women,1
Died,3rd class,Women,1
Survived,2nd class,Children,1
Died,1st class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Women,1
Died,3rd class,Children,1
Died,3rd class,Children,1
Survived,2nd class,Men,1
Died,1st class,Men,1
Died,1st class,The aged,1
Survived,2nd class,Women,1
Survived,2nd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Survived,1st class,Children,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,3rd class,Women,1
Died,1st class,The aged,1
Survived,1st class,Women,1
Died,1st class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,2nd class,The aged,1
Survived,1st class,Women,1
Survived,1st class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Women,1
Died,3rd class,Women,1
Survived,3rd class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,2nd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Women,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Survived,2nd class,Children,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,The aged,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,The aged,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,1st class,Men,1
Died,3rd class,Children,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Children,1
Survived,3rd class,Men,1
Survived,3rd class,Children,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,1st class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Died,2nd class,The aged,1
Survived,2nd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Children,1
Survived,1st class,Men,1
Survived,3rd class,Children,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,1st class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Men,1
Survived,1st class,Women,1
Died,1st class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Women,1
Survived,1st class,Women,1
Died,3rd class,Children,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Men,1
Died,1st class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Died,1st class,The aged,1
Died,3rd class,Children,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Children,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Children,1
Survived,1st class,Women,1
Died,1st class,Men,1
Died,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Women,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Children,1
Survived,1st class,Children,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Children,1
Survived,3rd class,Children,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,2nd class,Children,1
Died,3rd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Survived,1st class,Children,1
Survived,3rd class,Children,1
Survived,3rd class,Men,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,1st class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Survived,1st class,Women,1
Survived,3rd class,Men,1
Died,1st class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Children,1
Survived,3rd class,Men,1
Survived,1st class,The aged,1
Survived,3rd class,Children,1
Survived,2nd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Men,1
Survived,1st class,Men,1
Died,3rd class,Men,1
Died,2nd class,Children,1
Survived,1st class,Women,1
Died,3rd class,Men,1
Died,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Children,1
Died,3rd class,The aged,1
Died,3rd class,Children,1
Survived,1st class,Children,1
Died,2nd class,Women,1
Survived,3rd class,Women,1
Survived,1st class,Women,1
Survived,1st class,Men,1
Survived,3rd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Survived,2nd class,Women,1
Survived,2nd class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Died,1st class,Men,1
Died,3rd class,Men,1
Survived,2nd class,Women,1
Survived,3rd class,Children,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Men,1
Survived,1st class,Women,1
Survived,2nd class,Women,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Died,3rd class,Men,1
Died,3rd class,Women,1
Died,2nd class,Men,1
Survived,1st class,Women,1
Died,3rd class,Women,1
Survived,1st class,Men,1
Died,3rd class,Men,1
